IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.83.201,2086,2086,false,SIN,Asia Pacific,Singapore,76,4.97
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,122,4.96
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,125,4.94
47.236.169.141,2086,2086,false,SIN,Asia Pacific,Singapore,118,4.85
8.222.144.50,2087,2087,true,SIN,Asia Pacific,Singapore,120,4.81
144.24.89.200,443,443,true,SIN,Asia Pacific,Singapore,329,4.81
47.236.97.90,2083,2083,true,SIN,Asia Pacific,Singapore,119,4.81
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,83,4.79
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,92,4.77
47.237.100.206,2053,2053,true,SIN,Asia Pacific,Singapore,119,4.76
47.237.92.26,8080,8080,false,SIN,Asia Pacific,Singapore,120,4.75
47.237.94.140,8080,8080,false,SIN,Asia Pacific,Singapore,92,4.73
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,91,4.69
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,124,4.67
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,125,4.64
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,125,4.63
8.219.107.135,2086,2086,false,SIN,Asia Pacific,Singapore,122,4.62
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,114,4.62
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,87,4.62
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,120,4.61
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,91,4.57
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,115,4.57
8.219.106.156,2052,2052,false,SIN,Asia Pacific,Singapore,120,4.53
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,121,4.52
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,135,4.51
47.236.180.51,8080,8080,false,SIN,Asia Pacific,Singapore,92,4.49
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,88,4.47
8.219.4.122,2087,2087,true,SIN,Asia Pacific,Singapore,120,4.45
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,80,4.44
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,124,4.44
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,107,4.44
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,121,4.43
47.236.121.23,8080,8080,false,SIN,Asia Pacific,Singapore,143,4.42
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,88,4.40
8.219.210.57,80,80,false,SIN,Asia Pacific,Singapore,91,4.36
8.219.124.227,2052,2052,false,SIN,Asia Pacific,Singapore,85,4.36
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,131,4.36
8.219.191.40,8443,8443,true,SIN,Asia Pacific,Singapore,122,4.35
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,87,4.33
47.236.97.90,2052,2052,false,SIN,Asia Pacific,Singapore,92,4.29
8.219.67.133,8880,8880,false,SIN,Asia Pacific,Singapore,120,4.25
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,77,4.24
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,89,4.24
8.219.191.110,2096,2096,true,SIN,Asia Pacific,Singapore,128,4.24
47.236.172.95,2086,2086,false,SIN,Asia Pacific,Singapore,80,4.22
47.236.102.102,2083,2083,true,SIN,Asia Pacific,Singapore,84,4.20
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,93,4.15
47.236.10.182,8080,8080,false,SIN,Asia Pacific,Singapore,122,4.14
8.219.122.55,8880,8880,false,SIN,Asia Pacific,Singapore,77,4.14
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,133,4.11
47.237.95.140,2082,2082,false,SIN,Asia Pacific,Singapore,96,4.11
8.219.83.201,2095,2095,false,SIN,Asia Pacific,Singapore,76,4.11
47.237.95.156,2095,2095,false,SIN,Asia Pacific,Singapore,97,4.10
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,79,4.09
8.219.122.55,80,80,false,SIN,Asia Pacific,Singapore,91,4.09
8.219.122.55,2083,2083,true,SIN,Asia Pacific,Singapore,83,4.09
8.219.142.191,8080,8080,false,SIN,Asia Pacific,Singapore,72,4.09
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,127,4.07
47.236.158.158,2095,2095,false,SIN,Asia Pacific,Singapore,90,4.07
47.236.149.107,8880,8880,false,SIN,Asia Pacific,Singapore,92,4.06
47.237.95.156,8443,8443,true,SIN,Asia Pacific,Singapore,98,4.05
47.236.174.206,2095,2095,false,SIN,Asia Pacific,Singapore,121,4.05
47.237.84.173,2095,2095,false,SIN,Asia Pacific,Singapore,119,4.05
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,123,4.03
47.236.80.110,2095,2095,false,SIN,Asia Pacific,Singapore,82,4.00
8.219.210.57,2082,2082,false,SIN,Asia Pacific,Singapore,127,3.97
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,88,3.97
8.219.122.55,2053,2053,true,SIN,Asia Pacific,Singapore,88,3.96
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,97,3.95
47.236.205.188,2086,2086,false,SIN,Asia Pacific,Singapore,93,3.94
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,93,3.94
8.219.142.191,8880,8880,false,SIN,Asia Pacific,Singapore,120,3.92
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,119,3.92
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,117,3.91
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,128,3.89
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,78,3.89
8.222.136.247,8880,8880,false,SIN,Asia Pacific,Singapore,83,3.88
47.236.170.225,2087,2087,true,SIN,Asia Pacific,Singapore,95,3.88
47.236.158.158,8443,8443,true,SIN,Asia Pacific,Singapore,124,3.86
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,79,3.86
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,119,3.85
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,93,3.85
